Name,Original Title,Korean Name,Show Type,Release Year,Age Rating,Duration,Episodes,Seasons,Years,Rating,Number of Ratings,Number of Ratings (num),Poster Link,Trailer Link,Genres,Description,Stars,Streaming Services
Squid Game,Ojing-eo geim,??? ??,TV Series,2021-2025,TV-MA,1h,12,1,3,8,575K,575000,https://m.media-amazon.com/images/M/MV5BYTYzMTlmNDctNmVkNS00YzRlLWE5MjAtODdjZWRkYzRlNWVlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi2577713433/1434659607842-pgv4ql-1730402315516.mp4?Expires=1730932435&Signature=uJ9vJBL7jyCD1Km8g-NzJSUrr8GlGloHdF6F~Y0bLyDa3Ucex5UEgVcDFaNhnITsitYpFQtpCa6hA5iH5tws-lVzyKjB02Id60jpp1eWFc8vkCQ-wxEmdn53jo5~WojguutjMhTgDET68kTIKnQIlBgBAprAYMGSUxELZACi~C5k7l-4UO5BjrU0ekJaJ0fhdYoUOL5nHGNLZQ68KqlQyyqypKhgg3dPSVbtqjDmc49eq4Mc0EQCeDqzbQItHSwUcFc1wDGtk0m1EHBuOkeJcut7sMJM5A19xhE5wuuaXshU5llXSzkmAbZedDLcVMl1cq~QlJVu2giE9Ahcqlkk5A__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Conspiracy Thriller, Korean Drama, Psychological Drama, Suspense Mystery, Action, Drama, Mystery, Thriller","Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits with deadly high stakes: a survival game that has a whopping 45.6 billion-won prize at stake.","Lee Jung-jae, Park Hae-soo, Nandito Hidayattullah Putra",Watch on Netflix (https://www.netflix.com/watch/81040344)
All of Us Are Dead,Jigeum uri hakgyoneun,?? ?? ???,TV Series,2022,TV-MA,1h,13,1,1,7.5,72K,72000,https://m.media-amazon.com/images/M/MV5BZDY4ZmZhNzMtNjdkMC00NTE3LWFjYzQtOGE4OTllOGY1NTk5XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi3022439193/1434659607842-pgv4ql-1642120778769.mp4?Expires=1730932329&Signature=mPAxncxK~CcZ6lGciLmEvE3fXAeSBjJlYk9zKsRANQQ0gzKvZB7eG-l75-l~a29TBA3qI8~4mX3Cv54EiJerJsKLNnuf2lcij5M3qGJ83tI7SY04lcKpW5kANxY36xW4JNnKwSPKMsYgsYkvzQpPQ3sdLnspEjqEpH2xXFEs~XwY-eoO9vrZnpF4qdntGB8Dvz-7NO7gWKa13w9SrIXGr40kwOYRJdGEYVjsbMMhhD6aztsYhpPNr8zqbwCQDh6G83KE5zMeZiKYfsxE1G~bw51fUWbnRciZwUkI2yVPbBVHIGdRCU2uYtpCiKYyA9QyM2pfvBp0RoY21Brcwf6SXg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Coming-of-Age, Korean Drama, Survival, Teen Horror, Zombie Horror, Action, Drama, Fantasy, Horror, Sci-Fi",A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out or turn into one of the rabid infected.,"Park Ji-hu, Yoon Chan-young, Cho Yi-hyun",Watch on Netflix (https://www.netflix.com/watch/81237994)
Kingdom,N/A,??,TV Series,2019-2020,TV-MA,45m,12,1,2,8.3,57K,57000,https://m.media-amazon.com/images/M/MV5BYWQyMDQyYzItYWFhNi00YmViLTkwZTctY2M2NjEyNDJmNGQ5XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi2133047833/1434659607842-pgv4ql-1546270897942.mp4?Expires=1730931790&Signature=ADDexKVtJQtbpvjElo2UxKeT~qIKt1AYxo0v~oumj4C5lGDvWAzmGlXIbdbb4tWGQCAzqZnDryHcPVKwa63TCubUJcHQaSFqIPPXvHhwE1noXuYb9kMfGbtMq9FgpRfjGvmW47qoMTa4sJFRD-OeCLOl48uJHtHEvkdwZ718YfrfV0d7ejvUNFAfba9R~Q5FyupiXBVkMzS8icoHlzKntEq47H2o2xb0s-UGyriYpSwDPYEC1s4V9JQjkMwgqsXbxaAXS53VkhZWZ-5UqADefXkruvKS4ybNusdRwb0MB6ipgopB~wkvC3FjUyUMrJfNM-~ojRmFIPLJbIpbRwl99Q__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Period Drama, Zombie Horror, Action, Drama, Horror, Thriller","While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.","Ju Ji-hoon, Bae Doona, Kim Sungkyu",Watch on Netflix (https://www.netflix.com/watch/80180171)
Crash Landing on You,Sarangeui bulsachak,??? ???,TV Series,2019-2020,TV-14,1h 10m,19,1,2,8.7,46K,46000,https://m.media-amazon.com/images/M/MV5BZjM3ZGQ4ZTMtOTNjMS00NmJlLTljMWUtNWExMzJhMGJlMWNiXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi529579545/1434659607842-pgv4ql-1584369930391.mp4?Expires=1730932223&Signature=c5u2R3Z6kGUBkWgQj~HmQyd46BHgnGEWtpPZ96d3F8WyLQ0Oi353kBaPReGquZuOn-NEwozIhBfAWsdFZHOqOCgGAd0ZL4f3QNGKHS0-gIPkGzGHz79kFOar3JaLi1324wONsopIXvl7JH5MSgWMJi6LEoOLviDwMxnc9O-sw1QHnL~ihkis~58pJC6lUjcF~~PNlZZLV8bLaY1kbxDMNhIhvU6AlkUugasevCf~a9Lcjmooi1j7jJtTAmrme5aeeJEetb0prl3q7dCogL32UIiQnnwRE4Xr0AujhabBQnda1IepgypqI-zjFjkKWiiFEHSTyiKx-K6FtbNZWexlQg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Feel-Good Romance, Korean Drama, Adventure, Comedy, Drama, Romance",The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.,"Hyun Bin, Son Ye-jin, Seo Ji-hye",Watch on Netflix (https://www.netflix.com/watch/81159258)
It's Okay to Not Be Okay,Saikojiman Gwaenchanha,????? ???,TV Series,2020,TV-MA,1h 20m,16,1,1,8.6,38K,38000,https://m.media-amazon.com/images/M/MV5BNzZmOWMwNjktNzdkOC00MDcxLWE3YTItNzIwOTRjOGFlYWZlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi1947319833/1434659607842-pgv4ql-1592917357878.mp4?Expires=1730932242&Signature=tvxRDs6ro-0-WLMCYRXg0fAA~2vcWOuwk~3JsZqa589HtU6ikhGMq6rZbZWwTRqkS4dylLdScWzaRmVrcHn17EjztL05eQ5HMLKkA9T4C9UPBnsK1InrYO9tzd4a7mQcT4rxUF6XtvxRzn9YRONSF6DTP~0dAU0rMPfPidKMI8F6TiLWqSfmzi~OQqLJp2XcvaFwst4GL3ZSi6C34vfdi42WLezdAkhlJ1GrrmJH~wuqpuT4EF96wEx3LljoNTmtVki6kEdro99x0svcCCwxmd2cbw1F8us0qxSZDTxI72j2BwRh5ddPmEDtTTLFprPMm8fIAMH1Ji8OozWkIdkGCw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Psychological Drama, Comedy, Drama, Romance",An extraordinary road to emotional healing opens up for an selfish antisocial children's-book writer and a selfless psych-ward caretaker when they cross paths.,"Kim Soo-hyun, Seo Ye-ji, Oh Jung-se",Watch on Netflix (https://www.netflix.com/watch/81243992)
My Name,Mai Neim,?? ??,TV Series,2021,TV-MA,50m,8,1,1,7.8,35K,35000,https://m.media-amazon.com/images/M/MV5BN2ZiZWU3MzMtNGM5OC00ZWVkLTkxNjUtMTYwZGU4MzgxYzk0XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi162251545/1434659607842-pgv4ql-1632824829925.mp4?Expires=1730932188&Signature=ur9aJ6rw89jTcfaUhy5Wv~BKnHtzyUW8V9~oba58fLvbX7ijxoFAgCMbceJI35P80JmN2KpSiHdS9sCL9o8fNS2IOHOSlLa8leosWWsfMMTyhwKBREkNbv8srrAYz~c5LltYgQZT1Zh7vEdAv2B8oFbPH2Wo~J47wWLZ3vySRMkA0ZKTqGL3o~YtduGukUivu9JKEE4p4S1x6Y3P-9WSl2vbGu~8IRP0kFEhnAWqTzhkJw5AJlwhVCoC~9aDfeCVt4mZYkGHFW1mdangfdKQDDQcUsdDfqGQJenZRr6rq~E6KRgc6~WmvP9Z2CtfrYCsmsfylD2qg9BpxRDcrkgZqA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Suspense Mystery, Action, Crime, Drama, Mystery, Thriller",The story about a woman who joins an organized crime ring and infiltrates the police as an undercover agent in order to find out the truth about her father's death.,"Han So-hee, Park Hee-soon, Kim Sang-ho",Watch on Netflix (https://www.netflix.com/watch/81011211)
Sweet Home,Seuwiteuhom,????,TV Series,2020-2024,TV-MA,52m,26,1,3,7.2,35K,35000,https://m.media-amazon.com/images/M/MV5BZDE0MTM5YjgtMzNhOS00NWE2LTkxN2EtMzg0NWRmODBmMDA5XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi2822555161/1434659607842-pgv4ql-1718984091638.mp4?Expires=1730932539&Signature=a1Z~3wfCvf3Rru2C4O1NwxYQb8l~sD2-TpPch6tvpCTCV2qfH5XMY~lHgYF4ET3UySyQmIWXuJwL2qWpQYpOTaiLAcMggjOZqgFIie8ms8ea-7Hu9LALlh4cteQNL~FEHi9iors7HyeTf3fgFUHotQm88u6owSJ-w0p1RNZFhtxo2fko8G4ZTQUeKdZ1JfLe2HbmvNqdRxuVgmfcZue-rr1tq-GacqXoxxE54tCd-bRrvsucZVs8NQYsrHgRdaDpcYhiJ7NIz1SrNGP8twgt~Djv8vWt~geaLLoquEKuUmYo5ZgJYIjWRu-yhSuBkXBs-tCGPK6VwmEwg5P04FFDng__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Monster Horror, Splatter Horror, Supernatural Fantasy, Supernatural Horror, Survival, Teen Horror, Drama, Fantasy, Horror","Hyun, a loner high school student who lost his entire family in a terrible accident, is forced to leave his home and has to face a new reality where monsters are trying to wipe out all of humanity. Now he must fight against all odds to try and race against the clock to save what ...Read all","Song Kang, Lee Jin-wook, Lee Si-young",Watch on Netflix (https://www.netflix.com/watch/81061734)
The Glory,Deo geullori,? ???,TV Series,2022-2023,TV-MA,50m,16,1,2,8.1,32K,32000,https://m.media-amazon.com/images/M/MV5BODM0ZTc5YTAtZmMxNi00YzJkLWEzODItZDczZTRlNTc1NGE3XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi2913911833/1434659607842-pgv4ql-1677161432413.mp4?Expires=1730932126&Signature=PjFYRBd0uobq5DkjC6uZZ~WXMqfJMNJaZCQPDiIlYrAWvntKTOCyKOJjVAysrjbYR73a117LBv~cSp4TSiHsEpqHxn4OLQSu3i1A-4cVPCYrKm7gBuI75Yw46irOepMQP~zSF6mG6naWDHUPZiwLB6hegM8Ko~n18TqsFOYrPJSq4kokjxFs-jrC~0uvCbbTx-citCeFxUld2WJSbUcyVRfGLsmaWGaOVjXG~XfveztBypzc-zHjvHG2Dg2EBq70SUHpO2Bi5YUgsGnmElri8XEVP0BYzLJyHbdnRyKOZIkm7wtR53II03Qy9-4bEq7xn2iEyRLEVa9vT4xTAT9LHA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Psychological Drama, Drama, Mystery, Thriller",A woman lives for absolute revenge against her childhood bullies who destroyed her life.,"Song Hye-kyo, Lee Do-hyun, Lim Ji-yeon",Watch on Netflix (https://www.netflix.com/watch/81519223)
Vincenzo,Binsenjo,???,TV Series,2021,Not Rated,1h 20m,21,1,1,8.4,31K,31000,https://m.media-amazon.com/images/M/MV5BNjA1YmJiNTMtMDc4OC00ZjlkLTgyMjctYzRmMWJhMmZhMjkyXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi3747397913/1434659607842-pgv4ql-1612962189631.mp4?Expires=1730932299&Signature=mjU0aLpe3uoxdx3J2gmT34n7DUmrxdcTpvgUnCbzXpgLrsLjfZwCbKJdShrazf5aP-wzvcCoa2DKNKWwsGpXMi~82dXC9T2FKepVpwtU8WBQ6CKH~MvdvtT4q96KtOxWgv7y2UaU6ieOzJl34mcu13MHpHXJie9DK56qamlmhXgkBxBQefcb77QNxWoSL6wbXMqlXLUh3ImYVDHmP6ygxZJuz~UaFQFYUW5cvFEaueF7xAZgsA6vzFWSFSznyp3qExVM55~LVKRSBC~8HhvwEGoBUCEgrVsll1gLo-85JlEJ-7GQHXKxOoy286VtObK-TrB1T0uJqVtUjwOtgdZC2A__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Action, Comedy, Crime, Drama","During a visit to his motherland, a Korean-Italian Mafia lawyer gives an unrivaled conglomerate a taste of its own medicine with a side of justice.","Song Joong-ki, Jeon Yeo-been, Taecyeon",Watch on Netflix (https://www.netflix.com/watch/81365087)
Guardian: The Lonely and Great God,Sseul-sseul-ha-go cha-ran-ha-sin-do-ggae-bi,???? ???? ???,TV Series,2016-2017,TV-14,2h,16,1,2,8.6,30K,30000,https://m.media-amazon.com/images/M/MV5BNWIyNTA3MmItNzY5ZS00NmZhLThjMWYtZjIxYzllZWU5YWIzXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi1955250457/1434659607842-pgv4ql-1602258066805.mp4?Expires=1730931818&Signature=tcKEus4pQnHzqp2C72MLSYYGy-5Ptzw7sZe1vk-UwHu65fUPIRlFwPo7QVDpPn~gc4A~d~ZFZOKuJqeV5XozOIk3CyvfSM7xyp3ICVyQq9rGZiqTu5YKv7Fq2siEGvsR6kai-WHD-2VyYZ8UkY553p-cr8koRob41M7EXqO869z43IG5nREFvM16~IiC46QrHqoFfsHt0GutP4TrGVw4ZcLR2~mC1ugR~4GnQQrVO71Zti03ETHz2cUvCm6qZdArFOqtO3jt1cYgYYne7f2Nm~bi-8GgW5mOzsgGuqq50idghWTDyzPi7GN6LCoG3RWNkl6i0Sd1EQMxJwh6LGB4jA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Comedy, Drama, Fantasy, Romance","In his quest for a bride to break his immortal curse, Dokkaebi, a 939-year-old guardian of souls, meets a grim reaper and a sprightly student with a tragic past.","Gong Yoo, Kim Go-eun, Lee Dong-wook",N/A
