Name,Original Title,Show Type,Release Year,Age Rating,Duration,Episodes,Seasons,Years,Rating,Number of Ratings,Poster Link,Trailer Link,Genres,Description,Stars,Streaming Services
D.P.,N/A,TV Series,2021,TV-MA,50m,12,2,2,8.2,9.9K,https://www.imdb.com/title/tt13024974/mediaviewer/rm1953244161/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3921594137/1434659607842-pgv4ql-1687874431056.mp4?Expires=1730738096&Signature=tFAKvxAIsqGmyphqzGZqRq9sDMDKK4O524LeE-HRaJ7R-S~w91lxslM9pQWoDQj2Nb~I6N1RYFgMGspYh5gu4ks9ANypVwGqS8YBBCk5hGqzMEFwu0bB9PQ9Ynp77Fg6B3E300RdQ9blPK4SIJp2prk8pFd9HZxknmi268yP-a0w~EBlxFuU8hLmOMeqKfQplDELSIvagIvGcs8QHeRvM9QEsNUsLguDhssJX1XkbctPu~ZN65tduFrq-gngMNspHNTkwRohUXrNHEBxp8XRAsmB0d~HtdO~goeCpToJKZQDFc2jJpwO3wShZMBZOnqbt51l9vhKn0cQMu-6pC9wbA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Action, Crime, Drama",A young private's assignment to capture army deserters reveals the painful reality endured by each enlistee during his compulsory call of duty.,"Kim Bo-tong, Kim Seong-gyoon, Son Suk-ku",Watch on Netflix (https://www.netflix.com/watch/81280917)
See You in My 19th Life,Yibeon Saengdo Jal Butakhae,TV Series,2023,TV-14,1h 10m,12,1,N/A,7.7,9.7K,https://www.imdb.com/title/tt27838483/mediaviewer/rm649601793/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi625394713/1434659607842-pgv4ql-1685715097563.mp4?Expires=1730700597&Signature=or47aB-aSOmxwCa9ystRk6GX76WvWdKJkrMwJGdTJtLGrrz-fLDiXRapVtzOr~uK68QJoUgobDbURzzG8lf9M0zJggFzOgCf6RSIioVgXtac-lD6~xZzPLAjqeMpRyFSUpgvMiN5Agu7sj4ZsY6rvk7iCytiyV0ADEmOBP1DqjCIzYZVIRmBSD6vCER3ZmjeUn9PENv9xW7IagZNtn8TUlE~LZXj-Ap~2L8TyCgPTQjMk0P3x1eo3-9YkTLdzsjiVl1C-zAUOf0LU1R2DcLU3icPiAQKVnYwO0SarQelxiTSZGcxUr8o4ynAlJJodsquB7QQNybffWE-rmptJj9g3g__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Feel-Good Romance, Korean Drama, Supernatural Fantasy, Teen Fantasy, Comedy, Drama, Fantasy, Romance","Ban Ji-eun can remember all her past lives. When her previous life is cut short by a tragic accident, she sets out to reunite with a man named Moon Seo-ha whom she met in her 18th life.","Shin Hye-sun, Ahn Bo-hyun, Ha Yoon-kyung",Watch on Netflix (https://www.netflix.com/watch/81671426)
Pinocchio,N/A,TV Series,2014-2015,TV-14,59m,20,1,2,8.1,9.4K,https://www.imdb.com/title/tt4201628/mediaviewer/rm199615488/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2911683353/1434659607842-pgv4ql-1635239184981.mp4?Expires=1730702373&Signature=tEGaauaB4nGzaOX1Hc7TRVTpIPD7WbWqJxIDtCdMNZJ7QiI~XELfJpcboL43BYEjPgDF4beOsekJKgjFkT6OuwpovUkw1jwgPRDOQpdd84Grm8Bl58NOR8b4pTJP3MgSPbVOtxaOl8m26OX2NAOO3dpmlWhl6P43C7FAPqbTTGjysL0Jmzr8VEenlJ5cXtK5v8FTFC2CilkyUihpeu6-xI4S1aCWcI6vg36w~s~Qw1Dq5P3xGfKHhNL4MvfPc34b3H4ZX9ZSmlqRfdJsUL9EDN8y7Da9mTsl3hAjo0oZezow1qngZ60X-ieU0HXPM8JzMKaa7OJr-0mEAEwFs~6ZOw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Comedy, Drama, Mystery, Romance, Thriller","A young boy, whose life and family has been destroyed by new media, gets adopted by a family in a rural area after being found lost at sea. He conceals his past for 13 years. But then the girl he loves, a reporter, finds out the truth.","Lee Jong-suk, Park Shin-hye, Kim Hae-sook","Watch on Prime Video (https://www.amazon.com/gp/video/detail/amzn1.dv.gti.a6b9839f-5d91-9ca6-57ad-84fc6586d42f), Watch on The Roku Channel (https://therokuchannel.roku.com/details/032511e861505bc691a667d4f0e42d1b), Watch on Prime Video (https://www.amazon.com/gp/video/detail/amzn1.dv.gti.9ca9f791-c263-1dce-6262-35130fd1add7)"
Something in the Rain,Bap Jal Sajuneun Yeppeun Nuna,TV Series,2018,TV-MA,1h 15m,16,1,2,8.1,9.4K,https://www.imdb.com/title/tt8078816/mediaviewer/rm3166914560/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2720449049/1434659607842-pgv4ql-1658268186197.mp4?Expires=1730702691&Signature=uCakviKhGF7us0Aowo9pBOC1mtqhqJUdh~yL~GwYLQDNDPvpiQFgsFtkamxy7~8-D3VDS5wGGp9ELhRTmsV9xH1o9oc5-yL7rH1bLkixnlsKfFLVG-fOC9cEB6bdXYVgFLpR5adkeyxeNBqojSZq-0NSlwNdoPaIyjpGGhtJ5Ds~tYzLHtWSE9mxXiKyPR1AOfclznwKNbEFpKPVCn3ykWLcTFx6rISTKmCzmvi2tK01cNrfWB0Aj0ekyVLFANnjLAiHqe8CxhS0Td6KMaGkuvRNtECsVunf4QF5txbgvlY6x99ZyNZDDVAvB0NyYfpdxKU~Zf94WmVTV84~O0DMgg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Drama, Romance","When a single career woman reunites with her best friend's younger brother after he returns from three years of working abroad, their efforts to reconnect grow into romance.","Son Ye-jin, Jung Hae-in, Wi Ha-joon","Watch on Netflix (https://www.netflix.com/watch/80990935), Watch on The Roku Channel (https://therokuchannel.roku.com/details/026886c5533f5879ace194f7a302333b)"
I'm Not a Robot,Roboti Aniya,TV Series,2017-2018,TV-14,35m,32,1,2,8,8K,https://www.imdb.com/title/tt7521778/mediaviewer/rm2043502336/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2575680281/1434659607842-pgv4ql-1634710736694.mp4?Expires=1730703274&Signature=HXsiopQZDU6CPeybHkCYW1JfaijZtM3raEatWD6bB5Tl6cUOOEYvf2vT1zZUspv2vb8IS~ZAxbJ4fToITNOIfwFGRnt7ncl2J7ax3-QSKNIVq7-EXwMZsuxexuVlJQo7pGi6M-Bo01RaonLcdcYz9d3dDZfYebzhDwGCfYr10iAWcW5gN6OPvgfEx221kIVRcmgrIUis4ruUt~7j1mdLnVowGdPxJwitVd8eBFH1FkxyRIWdsRKfVX0QwNFG32JgfHoy6cG8qVqEQjRVuZTw4Z~Y2vsM7MfQ-~QPJMQTXdmEMDU1vL5LVhZ64dX1gj5X-HeKyiv-3rZRFULWFWXDIg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Comedy, Romance, Sci-Fi","Kim Min Gyu has wealth and success, but lives an isolated life due to his allergy of people. He then meets and falls in love with a girl who is pretending to be a robot for her ex-boyfriend, a genius robots professor.","Hwang Seung-eon, Park Se-wan, Yoo Seung-ho",
Doom at Your Service,Eoneu Nal Uri Jib Hyeongwaeuro Myeolmangyi Deuleowassda,TV Series,2021,TV-14,1h 5m,16,1,2,7.9,8.6K,https://www.imdb.com/title/tt13669128/mediaviewer/rm2900869633/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2777465625/1434659607842-pgv4ql-1635240599730.mp4?Expires=1730700975&Signature=Vpk6mgBe0U4nwkoF1NqHt1VT2PfPTgEUUX7vy-9T2OWQ5Vd~3-HeWcqHD5~W-NQWH~C9w8csT1eXFAkNcfB-yyNmbG4H~IIaDJ5FtJSUl6ZrirCBKeboTM-VFmihDQXk--yDz5k-t2XuR9ol3ZBcuGmeG8PN7kdYV1mnQV5bUXHUxjQva97ZzVACcwR4OjXqtEQxG4urWMa9FFbMuqkJPzq3L01CUUbrTaBTla0WFbwcunnFWp3tij1zTM4o1Od~kGeab8RZBQp6U-R-sntc6cIVTJ9wxbwPqjKsKWEoFdEzeSY6KLotc9tvNOoPws5eyYEqqf7ULMSaNizF7kD7nQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Drama, Fantasy, Romance","Tak Dong Kyung lives a fairly ordinary life until she stumbles into an unexpected fate and ends up signing a hundred-day contract with Myul Mang, risking her everything.","Park Bo-young, Seo In-guk, Lee Soo-hyuk",
Because This Is My First Life,Ibeon Saengeun Cheoeumira,TV Series,2017,N/A,1h 10m,16,1,N/A,8,8.5K,https://www.imdb.com/title/tt7278588/mediaviewer/rm4120936705/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi4018324249/1434659607842-pgv4ql-1634563737624.mp4?Expires=1730700940&Signature=uCmwogT6-PEjfsU~IteYrFPTADykdIQGb7WWPXT9ocUiDPWTdilzYUsjqjAktHq4jmWqtS7I6Vl2Tc2FJ0JDIBR4aYFStfOgXLRQ-UorVZU3HpGTE8kInX56WqRfNpTYMxhINIW0RMUvSxMwKT~XXQ7O11MVgamtiIukPDZhHVDbtJZBIWuCmirrThTUZN2p3Wy-KDix6FwccWDCJD8aWeAOp4VNziwG-DDQXGnZuOIJzADsmP-1Kwt95ZRAeF~82KPaLUsN4nBJkvRTYr3~tz-vQVOoGZMxkOE0IbtEY5vUtnzzwNKogbgITubaoeQTNXnRdsjTUdi6kb4Dy5WrxA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Comedy, Drama, Romance","Ji Ho is a single woman. She's a writing assistant of dramas. She's a strong and determined woman. Unfortunately, she has to leave her house and seeks other place to live. Her friends help her to find a roommate. That roommate is Se Hee.","Jung So-min, Lee Min-ki, Esom","Watch on Netflix (https://www.netflix.com/watch/81167119), Watch on The Roku Channel (https://therokuchannel.roku.com/details/12edd3e5d1bd5844b98a7def42405e0e)"
Mask Girl,Maseukeugeol,TV Series,2023,TV-MA,1h,7,1,N/A,7.3,8.4K,https://www.imdb.com/title/tt26258200/mediaviewer/rm3418839041/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2089076505/1434659607842-pgv4ql-1691157945696.mp4?Expires=1730700410&Signature=K2AF4wm9M2JTD6njMOaXWOVBDMAuFDzRoLwHW5CVG2rd3gZAO-glvpiWO5HPZ~5ddhzj7FLbUnVUx63KnfhCbTlxpQimDD6b16QyQG-cR~8NNykCyL3FVanMPxzPwfy1roXCTUS34ZXxZ5inNsEwwfg1ODl6ZxjOonkfzWcaNyMOZ86ar7C~8G9ILC~c-GZzdQK8qIWDOahK-ZRd4EpfFBKsqEUB0OjEFTQUf8LRj5FvdxT2EsPpwQothVy~PwkgW0imP7u9DCBKLkLgVDVTEbPdiKww973au4RYvxpAE0v15-OwqT8g2K2DdAH7SpMQ9uW-OWN4SWY448UcdXVcfQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Dark Comedy, Korean Drama, Comedy, Drama, Thriller",An office worker who is insecure about her looks becomes a masked internet personality by night until a chain of ill-fated events overtakes her life.,"Mae Mi, Ren Hanami, Elaine Wang",Watch on Netflix (https://www.netflix.com/watch/81516491)
Romance Is a Bonus Book,Romaenseuneun Byulchaekboorok,TV Series,2019,N/A,1h 2m,16,1,N/A,8,8.3K,https://www.imdb.com/title/tt9130542/mediaviewer/rm1802856960/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1921432601/1434659607842-pgv4ql-1555973313534.mp4?Expires=1730700960&Signature=cvfR~Sw~wtnVjSvzQAugJYDOCtTPL7esLUhqjz6qEp21EYD6Hv9HfwN4lmssJ7CjBzz9bvbG9Vk1i1UzxidZaKDtTelDZW-VldUQ2m2SfEU1paMz2p3v6fGBlCa800q1BzRtDfurnhzzMVPP4gCkAd21ByBo3tU8CzV5xUUxMkVgGWGHfnFki7phCpNcOUedBl5seIjT3FpULP2mnAAafdwKQXexPek14lFGEDccFACAoJ81ws~ESAeySOCrBnHafrJVXJODkmOsXAKSMKnk14mnZsb9axZ2ZBxwOFq3~qy-LlPscOK53X9eJCsDkstEbeJEZ4W2xPwpLchtTqqbxQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Steamy Romance, Comedy, Drama, Romance",A gifted writer who's the youngest editor-in-chief ever at his publishing company gets enmeshed in the life of a former copywriter desperate for a job.,"Lee Na-young, Lee Jong-suk, Jeong Eu-gene",Watch on Netflix (https://www.netflix.com/watch/81045349)
Hospital Playlist,Seulgiroun Euisasaenghal,TV Series,2020-2021,TV-14,1h 24m,24,2,2,8.7,8.2K,https://www.imdb.com/title/tt11769304/mediaviewer/rm2524628737/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi792247833/1434659607842-pgv4ql-1591189319722.mp4?Expires=1730700830&Signature=WpsKKKGWokr7IllbSjcvbg0-pTjLaFGrYtqT1M6zjJYYEQbTGY3iAUBHG8huV2YqrlHNSgFcfAxLA-Hdkw3GB1fbEr5O1LdMidkzppsIGnY4ZFOgSAIMLXfAXCsBclCEMF1gZib~ePVcVA8Ze03d7X6Vbeb5Hx-aBEYrsxL5AWq3BuwvTi9eVTMdJg0hFJDS4I9Wr-cTpk4C0gzwsMoY5WphnETdZM6~CVcPCtj6Jbqr9IUdq6ErJadgV3XGm8TsRE0EXicPdaW5dmBqNpy-oG6rnoZde3xAsE9nj6d6PeVQ-2thW8z8Ov174ovKkWZdQCQZU8q8YntJWcxUybR8YA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Medical Drama, Comedy, Drama, Romance",Hospital Playlist tells the story of five doctors who have been friends since they entered medical school in 1999.,"Jo Jung-suk, Yoo Yeon-seok, Jung Kyung-ho",Watch on Netflix (https://www.netflix.com/watch/81239224)
