Name,Original Title,Show Type,Release Year,Age Rating,Duration,Episodes,Seasons,Years,Rating,Number of Ratings,Poster Link,Trailer Link,Genres,Description,Stars,Streaming Services
My Mister,Naui ajusshi,TV Series,2018,TV-14,1h 10m,16,1,2,9.1,10K,https://www.imdb.com/title/tt7923710/mediaviewer/rm789361921/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3018113305/1434659607842-pgv4ql-1603464631127.mp4?Expires=1730700814&Signature=UG9xt7CUbuuDLf2M4HHN7q4p7bCUriMOcEQw3x9I9HQ1RdJyJqSNWgbXX-2W6rFoSxsSBP7tAY06EdfjHv5rjR4vCqKnsDvPhpbVr3TPMCVDMUtWNvB57pV38fQC4RELznYuzA43opVkzpGxbTtC1sC-MU93r8PrSH1YuDYf3rd5WaJD9pHlfAU4oBkNnlcx-0FLS81GBgsCMr5Dveesf2JWhWOIywmzVJ8RMiCo0~IyQSr~ZEPqSdUVdirgPxvqnOEQ8ViDjut6~twBa9qb0AnK~DgpU8Yx3j8KBXJbmnDIKH6qHiDS~RWjkT7Af57vFhNQSlkaVfXlDlg~3wL-Lw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Drama, Family","A man in his 40s withstands the weight of life. A woman in her 20s goes through different experiences, but also withstands the weight of her life. The man and woman get together to help each other.","Lee Sun-kyun, IU, Lee Ji-ah","Watch on Netflix (https://www.netflix.com/watch/81267691), Watch on Prime Video (https://www.amazon.com/gp/video/detail/amzn1.dv.gti.da1d0f15-9a9b-4592-acb0-cd33c3126cf4), Watch on The Roku Channel (https://therokuchannel.roku.com/details/d5a82a58b2dd59aeb8af42df5215a1d9)"
Twinkling Watermelon,Banjjagineun Woteomellon,TV Series,2023,N/A,1h 10m,16,1,N/A,8.9,6.5K,https://www.imdb.com/title/tt27446493/mediaviewer/rm3533132289/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3503343385/1434659607842-pgv4ql-1695263172438.mp4?Expires=1730700545&Signature=ZrygkB09P68EhaGq4W0Ba1ZslkZQS4hS4c~BI7MCgapOaUAIRrN~mJug1jzts33zxjDtrHFx6sFaWad-Gqi-iAS2IBpKbPAZ1t9LVeQAffAz4SM4wxd~2VmV2ADjV6ifm70RClDXodz~xJjgbDR68DSbtM9XpgQfe6QI6xEVUk8oHGEUH87NJpdkLRt8LkCnzVj~gKXc6ap28qYD3lbJXtmqRVgabXGzMJ3Xo5Djx79hIYayZhZVnBuL99mIfSOIA9ZexItWyKC6B5OpDek6YnV3aeJbeaEhUC3OAciPoKDpNMRJeeXhN1fmoAuLDyZuJKrUenA-Z4FEhD9VRKKVkw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Coming-of-Age, Korean Drama, Teen Comedy, Teen Romance, Comedy, Drama, Fantasy, Music, Romance","""Sparkling Watermelon"" will tell the story of a boy living a double life between a model student and a band member who gets to time slip and meets his 18-year-old father. The two will build friendships there.","Seol In-ah, Lee Ha-min, Choi Hyun-wook",
Alchemy of Souls,Hwan Hon,TV Series,2022,TV-14,1h 20m,30,2,2,8.7,20K,https://www.imdb.com/title/tt20859920/mediaviewer/rm1107629569/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1627047193/1434659607842-pgv4ql-1670338505231.mp4?Expires=1730700549&Signature=YBxnWYvSAU1rix0n6gNy24OcbwngxfR5AqTKNevWAviRyUyalHpx1e2ShWOJrg7ehCUBCbNU809mLmIu0jqldDySWnoMPYvPhUbaad9RfPJrBZsqIVs~29AbrJPB-6RyTlFPZr0Crk9lfdr4m8y~cJu4mGfXK02QhdER2FyC31G1uoxBWktrPQ1IqyGB3ssFTpB4iJp-N0YrlPQvuxhkidaygHUKmnNetpHSAkRxbsfahRtO1Om9bwyty3dyCCxSlFxJO8kJvya-VZL1OQQmhniPZHBL6qdc8mJ7cPYGII-Av9tBDmNaPj0co2vxDDH~0XT9FPtv~fbBoMcBPP2oGA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Dark Fantasy, Fantasy Epic, Feel-Good Romance, Korean Drama, Sword & Sorcery, Action, Drama, Fantasy, Romance, Thriller","Set in a fictional country called Daeho, it is about the love and growth of young mages as they overcome their twisted fates due to a forbidden magic spell known as the ""alchemy of souls"", which allows souls to switch bodies.","Lee Jae-wook, Hwang Min-hyun, Yoo Joon-sang",Watch on Netflix (https://www.netflix.com/watch/81517188)
Crash Landing on You,Sarangeui bulsachak,TV Series,2019-2020,TV-14,1h 10m,19,1,2,8.7,46K,https://www.imdb.com/title/tt10850932/mediaviewer/rm3056777473/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi529579545/1434659607842-pgv4ql-1584369930391.mp4?Expires=1730700550&Signature=aZQ2mQDGp7VlDIK5QW7Walpyz7OKKfbIM818Rdi~cyW-qlZHkxiX~laHfk5UuDnMS76Mf4SEmg9-abXd9K0u~2tlqDQUtL4kmQEV7OIP2odY4Fu9~jmOcYATFelsyoJYkAsluRmQjSxXPgPD~yFddO3Z2RUy21mjFjLBFeHRzZnzTUSuGHnamurvf-DxaifrnpwiiJmyOp6LvN~RXSm5JrAcYwi-svnW9wll2vyucoZcqWq0ELZ5Twa~8X-ET9r49-C8FY3-HWzC0Ns6JEWwwu5ObJoWL03SWkfMqFBR6VnGKGNIyW6S4zYzsApEbso3A9VlvlgnWIrpKNDNW7GP4g__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Feel-Good Romance, Korean Drama, Adventure, Comedy, Drama, Romance",The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.,"Hyun Bin, Son Ye-jin, Seo Ji-hye",Watch on Netflix (https://www.netflix.com/watch/81159258)
Mr. Sunshine,Miseuteo Shunshain,TV Series,2018,TV-MA,1h 20m,24,1,N/A,8.7,11K,https://www.imdb.com/title/tt7094780/mediaviewer/rm3955595265/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3576347929/1434659607842-pgv4ql-1554923351700.mp4?Expires=1730700556&Signature=mIhwqKRgSn55Z4iePzIw6fRuJu1LEJ1EJXrvG6WKVCxIaDbSrfemX2UNEksOedjTHLkTPXF8Ootasa1c0zQZP96k4QBMbyU8QtNV2Kj8gfUnR1bWgR30nFjg464NGNcEl3GzTVEi2VcQSUZS04doMrlJesYTcmEdYrFCTeS-pNu9McvBG3dx1aQKxIH3XSUSytMkEnr~zy6fz3IQs-7Aldl5dpFvAnx3UR18lc~CSTWqxeuip51z8JvMdUzG1yzUKGEeemMjUj1zJfN5BP1RiNOLNeF6UrWkvRApOhOy0XGdbr1t37oQMTb54yct0fRoaRRY1W0KWcr0VT4XQJkpYg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Action, Drama, Romance, War",A young boy who ends up in the U.S. after the 1871 Shinmiyangyo incident returns to Korea at a historical turning point and falls for a noblewoman.,"Lee Byung-hun, Kim Tae-ri, Yoo Yeon-seok",Watch on Netflix (https://www.netflix.com/watch/80991107)
Hospital Playlist,Seulgiroun Euisasaenghal,TV Series,2020-2021,TV-14,1h 24m,24,2,2,8.7,8.2K,https://www.imdb.com/title/tt11769304/mediaviewer/rm2524628737/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi792247833/1434659607842-pgv4ql-1591189319722.mp4?Expires=1730700830&Signature=WpsKKKGWokr7IllbSjcvbg0-pTjLaFGrYtqT1M6zjJYYEQbTGY3iAUBHG8huV2YqrlHNSgFcfAxLA-Hdkw3GB1fbEr5O1LdMidkzppsIGnY4ZFOgSAIMLXfAXCsBclCEMF1gZib~ePVcVA8Ze03d7X6Vbeb5Hx-aBEYrsxL5AWq3BuwvTi9eVTMdJg0hFJDS4I9Wr-cTpk4C0gzwsMoY5WphnETdZM6~CVcPCtj6Jbqr9IUdq6ErJadgV3XGm8TsRE0EXicPdaW5dmBqNpy-oG6rnoZde3xAsE9nj6d6PeVQ-2thW8z8Ov174ovKkWZdQCQZU8q8YntJWcxUybR8YA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Medical Drama, Comedy, Drama, Romance",Hospital Playlist tells the story of five doctors who have been friends since they entered medical school in 1999.,"Jo Jung-suk, Yoo Yeon-seok, Jung Kyung-ho",Watch on Netflix (https://www.netflix.com/watch/81239224)
Navillera,Nabillera,TV Series,2021,N/A,1h,12,1,N/A,8.7,3.4K,https://www.imdb.com/title/tt13885302/mediaviewer/rm2502085121/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi4253204505/1434659607842-pgv4ql-1617201369984.mp4?Expires=1730700691&Signature=pCuReoHtlavyevkjkGgAxGoYiREiJKPCWiw9gTtYyaEqqBdKzkp49FcG9IF~7f2xAelHVIqXSj-VRvyr1cPTkjK~d1mjde6VGBK3IjfSWlksdCl9K8REHGnpWx3~2JzDkIGmdKtzOcA8bDdMZrYf4PpnxTMwrlr9Xct~y~2fOsPyFOwhPei6Ugc8OC-3e-5srAvA2awfeIz6H7kJUB3kX2dy5agPDHpZeCMLgRYedIY6pvoe78kehdiSsG0AdHte6HOe8YXlfIvWhky3okY911E23XkydBQb~8a-JezjGuvLJxVDeK1VLDVDATYnN27vAJvAdEETf1b-UdUWoeXNkQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Drama",A 70-year-old with a dream and a 23-year-old with a gift lift each other out of harsh realities and rise to the challenge of becoming ballerinos.,"Jimin, Park In-hwan, Song Kang",Watch on Netflix (https://www.netflix.com/watch/81403966)
It's Okay to Not Be Okay,Saikojiman Gwaenchanha,TV Series,2020,TV-MA,1h 20m,16,1,N/A,8.6,38K,https://www.imdb.com/title/tt12451520/mediaviewer/rm2797253889/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1947319833/1434659607842-pgv4ql-1592917357878.mp4?Expires=1730700577&Signature=FxKA~cpWwbweNZZCp9InGHx61TYPCmvwoL-1TYMXQzxwkaPveeBI~y2vvmW6dCjQ05QfHPjg1wevkxp0xd1qK0jlw0sIzyRfSz1jVkRfCXVAA9MDd7c-RxoWW6P7njBp6q2j-ksyHu2CPudoD0yJzF4XbiaePkv0CVyWR5IM-AdseHNOAcMldW3Nyi8vpg6QBhBGCmwivumX51CbiZMfcQK20~mAgDOM3giERJv6A82YHPARl4~sUVh-nfWwbK4g4oVXwZr37KaiiZW6rVLl-wvjB5iqladb72i9BK3zw8LTZMencNjoIvduhqgYZBMsk3LmTD~378TvdJPyBCHipg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Psychological Drama, Comedy, Drama, Romance",An extraordinary road to emotional healing opens up for an selfish antisocial children's-book writer and a selfless psych-ward caretaker when they cross paths.,"Kim Soo-hyun, Seo Ye-ji, Oh Jung-se",Watch on Netflix (https://www.netflix.com/watch/81243992)
Guardian: The Lonely and Great God,Sseul-sseul-ha-go cha-ran-ha-sin-do-ggae-bi,TV Series,2016-2017,TV-14,2h,16,1,2,8.6,30K,https://www.imdb.com/title/tt5994364/mediaviewer/rm1343882240/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1955250457/1434659607842-pgv4ql-1602258066805.mp4?Expires=1730699944&Signature=nep7wXnlf9cmRmhs7k5KwR6rAc9q-B5L8W3NNcrBLPgbGU2Cctu7QXIqLnGBqnWEIzHZZ15qQMdlCdq9zigDLAhofwiwQli-QLXMU3ViWGVkVz9LbQN8Wk7sn2rWKpmdXsjLnXYHOuPkeY3FpIR6Msq7dwCeGEtHvo65ULr85WXkol7Jfru4oDqhx2BR0a1d6fDHT7r~IH6Tt8l1hWG86XKp6pYKl~bQ1RZxkhYg0AqLXnmISwS76x9ldVuIn4E3g7e-WdnM~C8RkZpWZa5vXnoFeuHX6AIo18zUnXVtTnUScjBUmmeYe4hyWI55-p5-sWPVqz~LMgme7EnzeH6nLw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Comedy, Drama, Fantasy, Romance","In his quest for a bride to break his immortal curse, Dokkaebi, a 939-year-old guardian of souls, meets a grim reaper and a sprightly student with a tragic past.","Gong Yoo, Kim Go-eun, Lee Dong-wook",
Extraordinary Attorney Woo,Isanghan byeonhosa Woo Young-woo,TV Series,2022,TV-14,1h 15m,16,1,N/A,8.6,30K,https://www.imdb.com/title/tt20869502/mediaviewer/rm3484751361/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi298041881/1434659607842-pgv4ql-1656071497126.mp4?Expires=1730700699&Signature=PUwGdH18qmKZ8F608mvaF-9e-gknLpweOXbALqO5DfrAjXRYMjrx6DFCPO8yKEw-RxzVTIMOV3V2pKm2QG1vKDwapcMHzrOGBgY3NCLzu-ggErP~UloFfmYsyFEXl5i207hbEtZTBEQFpbGfDcR4AZp6~JVfdxLVnmV4Wr55o9tnfyBQZYRLBHHoP2IIwqHspgc7QXkvtSh-6VTcyjHjkJ3wlrWa3dHQjbdJ5SlMGRZWm77eSteFGHuCaiTHISTO1U~UcJkqokjIdVIxxb7abZIbOLJNdHUjkRl3xRVldcgcYODUJVfX7QcbJUgplL3JxdbVW5xx9Mabxs~VuXWALQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Legal Drama, Drama","Follows the brilliant attorney Woo Young-woo, who tackles challenges in and out of the courtroom as a rookie at a prominent law firm and a woman on the autism spectrum.","Park Eun-bin, Kang Tae-oh, Kang Ki-young",Watch on Netflix (https://www.netflix.com/watch/81518991)
